customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-7016,Female,0,Yes,Yes,7,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,22.76,118.46,Yes
C-7017,Male,0,Yes,Yes,70,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,90.67,6328.38,Yes
C-7018,Male,0,No,No,15,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.39,1385.16,Yes
C-7019,Female,1,No,No,32,Yes,Fiber optic,No,No internet service,Yes,Month-to-month,Yes,Electronic check,53.26,1732.42,Yes
C-7020,Male,0,No,No,20,Yes,DSL,Yes,No,No,One year,No,Bank transfer (automatic),100.48,1999.42,No
C-7021,Female,0,No,No,15,Yes,DSL,Yes,No,No,Month-to-month,Yes,Electronic check,69.57,1037.94,No
C-7022,Male,0,No,No,48,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),64.33,3127.2,No
C-7023,Female,0,No,No,71,Yes,DSL,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),22.54,1616.15,No
C-7024,Male,1,Yes,Yes,21,Yes,Fiber optic,No,No internet service,No,Month-to-month,No,Credit card (automatic),47.0,937.81,Yes
C-7025,Female,0,No,No,42,Yes,DSL,No,No,No,One year,Yes,Mailed check,111.1,4710.52,No
C-7026,Male,0,No,No,26,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),57.18,1460.39,Yes
C-7027,Male,0,Yes,No,14,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),72.67,978.14,Yes
C-7028,Female,0,Yes,No,57,Yes,DSL,No internet service,No internet service,No internet service,One year,No,Electronic check,71.2,4085.21,No
C-7029,Female,0,Yes,No,37,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),77.04,2850.53,No
C-7030,Female,0,No,No,58,Yes,Fiber optic,Yes,No,No,One year,Yes,Electronic check,24.13,1392.92,No
C-7031,Male,0,Yes,Yes,21,No,DSL,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.22,1113.57,No
C-7032,Male,1,No,Yes,69,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,90.31,6236.14,Yes
C-7033,Male,0,No,No,3,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Electronic check,38.06,91.62,No
C-7034,Male,0,No,No,37,Yes,Fiber optic,No,No internet service,No internet service,Two year,Yes,Electronic check,38.36,1459.48,No
C-7035,Female,0,No,Yes,49,Yes,DSL,Yes,No,Yes,Two year,No,Bank transfer (automatic),19.01,903.01,No
C-7036,Female,0,Yes,Yes,19,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,61.75,1211.69,No
C-7037,Male,0,Yes,No,12,Yes,DSL,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),106.27,1281.18,No
C-7038,Female,0,Yes,No,61,Yes,DSL,No internet service,Yes,No,One year,Yes,Electronic check,23.19,1447.44,No
C-7039,Female,0,No,Yes,41,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,37.11,1542.79,No
C-7040,Female,0,Yes,Yes,33,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,49.01,1637.0,Yes
C-7041,Female,0,Yes,No,50,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),91.17,4540.93,Yes
C-7042,Male,0,Yes,No,68,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,82.06,5553.47,No
C-7043,Female,1,No,Yes,71,Yes,DSL,No internet service,No,No,Two year,Yes,Bank transfer (automatic),59.59,4201.98,No
C-7044,Female,0,Yes,Yes,33,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),93.91,3134.75,No
C-7045,Female,0,No,No,24,Yes,DSL,No,Yes,No,One year,No,Bank transfer (automatic),78.96,1927.08,No
C-7046,Male,0,Yes,No,61,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes,Electronic check,107.6,6557.66,Yes
C-7047,Female,1,No,No,61,Yes,Fiber optic,No,No internet service,No,Month-to-month,Yes,Electronic check,99.8,6051.04,Yes
C-7048,Male,0,Yes,No,28,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),43.28,1200.07,No
C-7049,Male,0,No,Yes,58,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,45.14,2630.05,Yes
C-7050,Female,0,No,No,43,Yes,DSL,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),30.54,1308.66,No
C-7051,Female,0,Yes,No,41,Yes,DSL,No,No,Yes,One year,Yes,Mailed check,51.7,2147.72,No
C-7052,Male,0,No,Yes,39,Yes,Fiber optic,No,No,No,Two year,Yes,Credit card (automatic),117.95,4649.81,No
C-7053,Male,0,No,No,49,Yes,DSL,No internet service,No,Yes,Two year,Yes,Credit card (automatic),58.58,2839.53,No
C-7054,Male,1,No,No,17,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),40.05,676.82,No
C-7055,Male,0,No,Yes,70,Yes,DSL,No,No,Yes,Two year,Yes,Mailed check,94.25,6590.6,No
C-7056,Female,0,Yes,Yes,70,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.25,5037.95,No
C-7057,Male,0,No,Yes,65,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,32.96,2112.21,Yes
C-7058,Female,0,No,Yes,5,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,56.07,236.92,No
C-7059,Female,0,No,No,2,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.45,157.61,Yes
C-7060,Male,0,No,No,22,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.38,2046.34,Yes
C-7061,Female,0,Yes,No,57,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),20.07,1143.68,Yes
C-7062,Male,0,No,Yes,66,Yes,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),44.9,3005.09,No
C-7063,Male,0,No,No,16,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,69.76,1143.79,No
C-7064,Male,0,Yes,No,51,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,44.88,2251.93,Yes
C-7065,Female,0,No,No,39,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.84,3159.3,No
C-7066,Female,0,No,Yes,40,No,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,66.19,2641.83,Yes
C-7067,Male,1,Yes,Yes,38,Yes,Fiber optic,Yes,No,No,Two year,No,Electronic check,54.17,2088.18,No
C-7068,Female,0,Yes,No,60,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,112.92,6797.62,Yes
C-7069,Female,0,No,No,59,Yes,No,No,Yes,Yes,Two year,No,Electronic check,81.22,4811.02,No
C-7070,Female,0,Yes,No,10,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,30.99,293.95,Yes
C-7071,Female,0,Yes,No,64,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,74.01,4767.14,No
C-7072,Female,0,Yes,No,63,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,96.07,6007.65,Yes
C-7073,Male,0,Yes,No,49,Yes,DSL,Yes,Yes,No internet service,Two year,No,Electronic check,88.85,4319.61,No
C-7074,Female,1,No,No,64,Yes,Fiber optic,No internet service,No,No internet service,One year,No,Credit card (automatic),35.21,2237.0,No
C-7075,Female,0,Yes,No,32,Yes,DSL,No internet service,No internet service,No,One year,Yes,Mailed check,115.24,3645.36,No
C-7076,Male,0,No,No,7,Yes,Fiber optic,No,No internet service,Yes,One year,Yes,Mailed check,62.88,413.66,No
C-7077,Female,0,No,Yes,21,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),33.9,744.92,Yes
C-7078,Female,0,No,No,20,Yes,DSL,No,No internet service,Yes,Month-to-month,No,Electronic check,36.02,765.23,Yes
C-7079,Female,0,Yes,Yes,26,Yes,DSL,No,Yes,No,Month-to-month,Yes,Credit card (automatic),27.82,703.78,No
C-7080,Male,0,No,Yes,68,Yes,Fiber optic,Yes,No,No internet service,Two year,No,Bank transfer (automatic),98.35,6664.25,No
C-7081,Female,1,Yes,No,15,Yes,Fiber optic,Yes,No internet service,No internet service,One year,Yes,Electronic check,30.2,430.99,Yes
C-7082,Female,0,Yes,No,14,Yes,Fiber optic,No,No,No internet service,Month-to-month,Yes,Mailed check,30.51,404.91,No
C-7083,Male,0,No,Yes,27,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),103.05,2735.94,Yes
C-7084,Male,0,No,No,40,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Credit card (automatic),52.46,2141.09,No
C-7085,Female,0,No,No,58,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,21.09,1194.59,Yes
C-7086,Male,0,No,No,28,Yes,DSL,Yes,No,No,One year,No,Bank transfer (automatic),23.19,641.32,No
C-7087,Male,0,No,No,26,Yes,DSL,No internet service,No,No,One year,Yes,Electronic check,32.22,788.69,Yes
C-7088,Male,0,No,No,63,Yes,Fiber optic,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),39.34,2514.22,Yes
C-7089,Female,0,No,No,66,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,84.51,5600.78,No
C-7090,Female,1,Yes,No,25,Yes,DSL,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.73,887.93,Yes
C-7091,Male,0,Yes,No,3,Yes,Fiber optic,Yes,No,Yes,One year,No,Bank transfer (automatic),29.89,117.83,Yes
C-7092,Male,0,No,Yes,72,Yes,DSL,No,No,Yes,One year,No,Bank transfer (automatic),94.47,6783.21,Yes
C-7093,Male,0,No,No,44,Yes,Fiber optic,No,No internet service,No,One year,No,Mailed check,85.11,3719.63,No
C-7094,Male,0,Yes,Yes,42,Yes,Fiber optic,No,No internet service,No,One year,No,Electronic check,61.53,2604.03,Yes
C-7095,Female,0,Yes,No,6,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Electronic check,72.93,423.99,Yes
C-7096,Male,0,Yes,Yes,39,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,49.2,1925.42,No
C-7097,Female,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.25,3395.63,Yes
C-7098,Male,0,No,No,23,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.67,1535.6,No
C-7099,Female,0,No,Yes,50,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,56.72,2839.54,Yes
C-7100,Female,0,No,No,43,Yes,Fiber optic,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,108.66,4678.99,Yes
C-7101,Male,0,No,Yes,19,Yes,Fiber optic,No internet service,No,No internet service,One year,No,Credit card (automatic),19.61,397.74,No
C-7102,Female,0,Yes,No,69,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.22,6602.38,Yes
C-7103,Female,0,Yes,No,51,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),30.44,1553.76,No
C-7104,Female,0,Yes,No,11,Yes,Fiber optic,No,No,Yes,Two year,Yes,Credit card (automatic),97.75,1044.69,No
C-7105,Male,0,No,No,12,Yes,DSL,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,79.59,914.4,Yes
C-7106,Female,0,Yes,Yes,8,Yes,DSL,Yes,No,No internet service,Month-to-month,No,Mailed check,102.33,809.69,No
C-7107,Female,0,No,No,24,Yes,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),27.75,632.33,Yes
C-7108,Male,0,No,No,41,Yes,DSL,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),73.9,3002.08,No
C-7109,Male,0,Yes,No,36,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,68.11,2433.72,No
C-7110,Female,0,No,No,72,Yes,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),88.62,6356.58,No
C-7111,Female,0,No,No,55,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,71.43,3887.41,Yes
C-7112,Male,0,Yes,No,9,No,No,No,No internet service,Yes,Two year,No,Electronic check,72.07,607.62,Yes
C-7113,Male,0,Yes,Yes,47,Yes,No,Yes,Yes,No internet service,Two year,No,Mailed check,60.96,2834.44,No
C-7114,Female,0,No,No,15,Yes,Fiber optic,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),48.88,688.26,No
C-7115,Female,0,Yes,Yes,48,Yes,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),66.23,3191.69,No
C-7116,Male,0,Yes,No,42,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,29.85,1232.43,No
C-7117,Male,0,No,Yes,60,Yes,Fiber optic,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),114.15,6826.97,Yes
C-7118,Female,0,No,No,70,Yes,DSL,No internet service,No,No internet service,Two year,Yes,Electronic check,89.44,6244.0,No
C-7119,Female,0,No,Yes,12,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,113.25,1375.28,Yes
C-7120,Male,0,No,No,2,Yes,Fiber optic,No internet service,Yes,No,Two year,No,Credit card (automatic),40.67,118.4,No
C-7121,Female,0,No,No,7,Yes,Fiber optic,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),105.93,767.42,Yes
C-7122,Female,1,Yes,No,3,No,DSL,Yes,No,No,Month-to-month,No,Credit card (automatic),98.88,319.39,Yes
C-7123,Female,0,No,No,3,No,DSL,No,No,Yes,Month-to-month,No,Credit card (automatic),85.72,255.6,Yes
C-7124,Female,0,Yes,No,27,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),80.5,2192.88,No
C-7125,Male,0,Yes,No,40,Yes,Fiber optic,No,No internet service,No,Month-to-month,No,Mailed check,49.65,1991.28,No
C-7126,Male,0,No,No,33,Yes,DSL,No internet service,Yes,No,Two year,No,Electronic check,99.64,3259.75,No
C-7127,Female,0,No,No,1,Yes,DSL,No,No,Yes,Two year,Yes,Mailed check,68.15,39.01,Yes
C-7128,Female,0,Yes,No,8,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,25.09,180.36,Yes
C-7129,Female,0,No,No,32,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Electronic check,49.29,1618.36,Yes
C-7130,Female,1,No,Yes,48,Yes,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.53,5358.18,No
C-7131,Male,0,No,No,4,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,103.07,435.67,Yes
C-7132,Female,0,Yes,Yes,70,Yes,DSL,No,No,Yes,Month-to-month,No,Electronic check,116.19,8117.96,Yes
C-7133,Female,0,No,No,19,No,Fiber optic,No,No internet service,No internet service,Month-to-month,No,Electronic check,80.8,1525.97,No
C-7134,Male,0,Yes,No,32,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),42.75,1330.56,No
C-7135,Male,0,Yes,No,9,Yes,DSL,Yes,No,No,Month-to-month,No,Electronic check,34.28,275.65,Yes
C-7136,Female,0,No,Yes,12,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),36.69,473.02,Yes
C-7137,Male,1,No,Yes,11,No,Fiber optic,Yes,Yes,No,One year,No,Mailed check,19.98,228.26,No
C-7138,Male,0,No,No,46,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,57.07,2608.97,Yes
C-7139,Female,0,No,No,16,Yes,DSL,No internet service,No,No,Two year,Yes,Bank transfer (automatic),37.14,624.53,No
C-7140,Female,1,Yes,No,1,Yes,DSL,Yes,No,No,Two year,Yes,Credit card (automatic),59.17,33.82,Yes
C-7141,Male,0,No,No,63,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,111.5,7072.1,Yes
C-7142,Female,0,Yes,No,21,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.05,1266.53,Yes
C-7143,Male,0,No,Yes,30,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,105.8,3157.73,No
C-7144,Male,0,Yes,No,13,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.55,1002.34,No
C-7145,Male,0,No,Yes,34,No,Fiber optic,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),42.71,1414.35,No
C-7146,Female,0,No,No,4,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),53.59,175.47,Yes
C-7147,Female,0,No,Yes,28,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer (automatic),26.39,753.73,No
C-7148,Male,0,No,No,59,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),51.35,3067.16,No
C-7149,Male,0,No,Yes,27,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),85.75,2344.3,No
C-7150,Female,0,Yes,No,69,Yes,Fiber optic,No internet service,No,No,Two year,Yes,Bank transfer (automatic),25.21,1703.6,No
C-7151,Male,1,Yes,Yes,25,Yes,DSL,No,No,No,Month-to-month,Yes,Credit card (automatic),38.54,968.06,No
C-7152,Male,0,No,No,3,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.14,128.98,Yes
C-7153,Female,0,Yes,No,68,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.2,7856.13,No
C-7154,Female,0,No,Yes,25,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.49,2427.89,Yes
C-7155,Female,0,Yes,No,20,Yes,DSL,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),91.35,1830.52,Yes
C-7156,Female,0,Yes,No,34,Yes,No,No,Yes,Yes,One year,No,Electronic check,29.62,965.28,No
C-7157,Male,0,No,Yes,26,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),96.1,2452.09,No
C-7158,Female,0,No,Yes,5,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.53,531.63,Yes
C-7159,Female,0,No,No,61,No,DSL,No,No,No internet service,One year,No,Electronic check,78.11,4717.71,No
C-7160,Male,0,No,Yes,9,Yes,DSL,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),117.04,1047.81,No
C-7161,Male,0,No,Yes,50,Yes,Fiber optic,Yes,No internet service,No internet service,One year,No,Electronic check,50.53,2526.96,Yes
C-7162,Male,0,Yes,Yes,6,Yes,Fiber optic,No,No internet service,No,One year,Yes,Electronic check,112.13,634.51,No
C-7163,Female,0,Yes,No,60,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),109.47,6535.11,Yes
C-7164,Male,0,No,No,44,Yes,Fiber optic,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,19.15,827.78,Yes
C-7165,Female,0,No,Yes,11,Yes,DSL,No,No internet service,No,Two year,Yes,Credit card (automatic),63.01,719.28,Yes
C-7166,Male,1,No,No,66,Yes,DSL,No,Yes,Yes,Month-to-month,No,Credit card (automatic),115.71,7637.57,Yes
C-7167,Female,0,No,No,47,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,28.31,1344.36,Yes
C-7168,Male,0,Yes,Yes,3,Yes,DSL,No,No,No internet service,Month-to-month,Yes,Electronic check,72.78,266.86,Yes
C-7169,Female,0,Yes,Yes,30,Yes,DSL,No,Yes,No internet service,One year,Yes,Electronic check,115.9,3503.8,No
C-7170,Female,0,No,No,21,Yes,Fiber optic,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),73.55,1537.99,No
C-7171,Male,0,Yes,No,28,Yes,DSL,No,Yes,No,Month-to-month,Yes,Credit card (automatic),36.98,1030.08,No
C-7172,Male,0,Yes,No,62,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),76.22,4737.52,No
C-7173,Female,0,Yes,No,33,No,Fiber optic,No,No internet service,Yes,Month-to-month,No,Electronic check,38.44,1285.06,Yes
C-7174,Male,0,Yes,No,35,Yes,DSL,Yes,No internet service,No,One year,No,Bank transfer (automatic),69.97,2449.02,No
C-7175,Female,1,No,Yes,52,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,25.4,1335.29,No
C-7176,Female,1,No,No,34,Yes,Fiber optic,No,No,No,One year,Yes,Bank transfer (automatic),78.55,2623.05,No
C-7177,Female,0,No,No,41,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,69.68,2849.84,Yes
C-7178,Male,0,No,No,51,Yes,DSL,No,No,No,Two year,No,Bank transfer (automatic),92.02,4670.91,No
C-7179,Female,0,Yes,No,47,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Mailed check,81.07,3773.21,No
C-7180,Female,1,No,Yes,58,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Credit card (automatic),72.96,4191.63,No
C-7181,Female,0,Yes,No,57,Yes,Fiber optic,No internet service,No,No,Month-to-month,Yes,Mailed check,86.98,4968.18,Yes
C-7182,Female,0,Yes,No,23,Yes,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),32.39,747.33,No
C-7183,Male,1,Yes,No,48,Yes,Fiber optic,No internet service,No,Yes,Two year,Yes,Credit card (automatic),77.54,3697.28,No
C-7184,Male,0,No,Yes,22,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,35.21,771.72,No
C-7185,Female,0,No,No,17,Yes,DSL,Yes,No,Yes,One year,Yes,Credit card (automatic),110.55,1878.57,Yes
C-7186,Male,0,No,Yes,69,Yes,DSL,No,No,No internet service,Two year,Yes,Bank transfer (automatic),24.83,1682.77,No
C-7187,Male,1,No,Yes,11,Yes,No,No,Yes,Yes,One year,No,Electronic check,61.04,686.65,No
C-7188,Female,0,Yes,Yes,15,Yes,Fiber optic,No internet service,Yes,No,Month-to-month,No,Electronic check,87.58,1341.79,No
C-7189,Male,0,No,No,35,Yes,DSL,No,No,No,Month-to-month,No,Bank transfer (automatic),63.8,2262.15,Yes
C-7190,Male,0,No,Yes,33,Yes,Fiber optic,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,27.21,908.18,Yes
C-7191,Male,0,Yes,No,16,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),73.34,1174.6,No
C-7192,Male,0,Yes,Yes,34,Yes,No,No,No,Yes,Two year,Yes,Mailed check,82.16,2749.54,No
C-7193,Male,0,No,Yes,66,Yes,DSL,No,No,Yes,One year,No,Bank transfer (automatic),88.38,5811.86,Yes
C-7194,Male,1,No,No,40,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,55.33,2172.53,Yes
C-7195,Female,0,No,Yes,28,Yes,DSL,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),74.37,2128.74,No
C-7196,Male,1,No,No,47,No,DSL,No,No,Yes,One year,Yes,Credit card (automatic),63.07,2927.8,No
C-7197,Female,0,No,No,39,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,Credit card (automatic),85.21,3288.37,No
C-7198,Female,0,Yes,No,70,Yes,DSL,No,Yes,No,Two year,No,Bank transfer (automatic),76.36,5384.16,No
C-7199,Female,0,Yes,No,20,Yes,DSL,Yes,No internet service,Yes,One year,No,Electronic check,70.58,1455.99,No
C-7200,Male,0,Yes,No,1,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),42.95,69.53,No
C-7201,Male,0,Yes,No,72,No,DSL,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,18.2,1260.94,No
C-7202,Female,0,No,Yes,63,Yes,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,35.41,2180.96,No
C-7203,Female,0,No,No,67,Yes,DSL,No internet service,No internet service,No,Two year,Yes,Electronic check,29.71,1978.38,Yes
C-7204,Female,0,No,No,4,Yes,Fiber optic,No,No internet service,No,One year,Yes,Mailed check,62.91,215.98,No
C-7205,Male,1,Yes,Yes,58,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.23,4547.18,Yes
C-7206,Male,0,No,Yes,25,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.31,979.16,No
C-7207,Male,0,Yes,Yes,47,Yes,Fiber optic,No,Yes,Yes,One year,Yes,Mailed check,111.91,5304.08,No
C-7208,Female,0,Yes,No,38,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,18.67,691.84,Yes
C-7209,Male,0,No,No,15,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),95.23,1444.56,No
C-7210,Male,0,No,No,63,Yes,DSL,Yes,No,No internet service,Month-to-month,No,Mailed check,80.52,5087.98,No
C-7211,Female,0,Yes,No,21,Yes,DSL,No,Yes,No,One year,No,Mailed check,55.36,1137.67,No
C-7212,Male,0,Yes,No,57,Yes,No,Yes,No,No,One year,Yes,Electronic check,23.05,1328.89,No
